iter	MultiClass
0	1.254924452
1	1.169034209
2	1.080690965
3	1.00158914
4	0.928740018
5	0.8626120466
6	0.8172708485
7	0.767799265
8	0.7294149257
9	0.6955619774
10	0.6562291489
11	0.6178055372
12	0.5957492514
13	0.5701261322
14	0.5491413644
15	0.5273016302
16	0.5129579857
17	0.4985233235
18	0.48388853
19	0.4675903594
20	0.4570926557
21	0.4458796995
22	0.4331055627
23	0.42097261
24	0.4093971195
25	0.4008713825
26	0.3895540469
27	0.3819401613
28	0.3746193509
29	0.3703428389
30	0.3616905177
31	0.3545028792
32	0.3486275454
33	0.3436519232
34	0.3388144024
35	0.3314859054
36	0.3276082389
37	0.3203415375
38	0.3139466944
39	0.3071449371
40	0.3027552235
41	0.2990894699
42	0.2972720385
43	0.2934828837
44	0.2921983303
45	0.28984648
46	0.285914409
47	0.2838145706
48	0.2788911611
49	0.2758296091
50	0.2708166415
51	0.2686078825
52	0.2673817488
53	0.2644484922
54	0.2616479452
55	0.25752641
56	0.254073254
57	0.2523855515
58	0.2492659054
59	0.2477293168
60	0.2448319919
61	0.2434219037
62	0.2411644949
63	0.2398446832
64	0.2366445223
65	0.2327085539
66	0.2299476655
67	0.2275190463
68	0.2245579648
69	0.2220808517
70	0.2209562233
71	0.2170809076
72	0.214667818
73	0.2118548761
74	0.2083365769
75	0.2066073265
76	0.2041442326
77	0.2030548934
78	0.2013442594
79	0.1998852279
80	0.1986605312
81	0.1978705366
82	0.1966697126
83	0.1951200206
84	0.1930168864
85	0.191421755
86	0.1906111544
87	0.1881897279
88	0.1876545169
89	0.1859752614
90	0.1843687375
91	0.1827341938
92	0.1820518115
93	0.1805669931
94	0.1789254291
95	0.1770041205
96	0.1759311361
97	0.1752363797
98	0.1735779539
99	0.1730965231
