iter	Passed	Remaining
0	3	340
1	6	302
2	8	287
3	11	278
4	14	272
5	17	280
6	21	281
7	24	283
8	28	284
9	31	286
10	35	286
11	38	285
12	42	283
13	46	282
14	49	281
15	53	279
16	56	277
17	60	275
18	64	276
19	68	274
20	72	270
21	75	267
22	79	264
23	82	261
24	86	258
25	89	254
26	92	250
27	96	247
28	99	244
29	103	240
30	106	236
31	110	235
32	114	232
33	118	229
34	121	225
35	125	222
36	128	218
37	132	215
38	135	212
39	139	208
40	142	205
41	146	202
42	149	198
43	153	195
44	156	191
45	160	188
46	164	185
47	167	181
48	171	178
49	174	174
50	178	171
51	181	167
52	184	163
53	187	159
54	190	155
55	193	151
56	196	148
57	199	144
58	202	140
59	204	136
60	207	132
61	210	129
62	213	125
63	216	121
64	219	118
65	222	114
66	225	111
67	228	107
68	231	103
69	234	100
70	236	96
71	239	93
72	242	89
73	245	86
74	248	82
75	251	79
76	254	76
77	257	72
78	260	69
79	263	65
80	266	62
81	269	59
82	272	55
83	275	52
84	278	49
85	281	45
86	284	42
87	287	39
88	290	35
89	293	32
90	296	29
91	299	26
92	302	22
93	304	19
94	307	16
95	310	12
96	313	9
97	316	6
98	319	3
99	322	0
