iter	Passed	Remaining
0	10	10448
1	18	9106
2	24	8190
3	29	7456
4	34	6936
5	40	6743
6	44	6260
7	48	6027
8	53	5897
9	56	5627
10	60	5416
11	64	5298
12	68	5182
13	71	5043
14	75	4944
15	79	4884
16	83	4802
17	86	4710
18	89	4612
19	92	4530
20	96	4497
21	99	4442
22	103	4378
23	106	4322
24	109	4275
25	113	4247
26	116	4209
27	120	4174
28	123	4135
29	127	4124
30	131	4099
31	134	4057
32	137	4030
33	140	4005
34	144	3996
35	148	3984
36	152	3958
37	155	3925
38	158	3904
39	162	3893
40	165	3874
41	169	3859
42	172	3838
43	175	3819
44	179	3807
45	182	3794
46	186	3785
47	190	3774
48	194	3766
49	196	3740
50	200	3722
51	203	3705
52	206	3696
53	210	3684
54	213	3669
55	216	3651
56	219	3636
57	223	3623
58	226	3613
59	230	3607
60	233	3595
61	237	3590
62	240	3578
63	243	3563
64	246	3550
65	249	3534
66	252	3522
67	256	3517
68	260	3509
69	263	3496
70	266	3484
71	269	3471
72	272	3461
73	276	3455
74	279	3444
75	282	3434
76	285	3422
77	288	3415
78	292	3414
79	296	3404
80	298	3392
81	302	3381
82	305	3374
83	308	3368
84	312	3360
85	315	3348
86	318	3339
87	321	3336
88	325	3333
89	328	3324
90	331	3316
91	335	3307
92	338	3305
93	342	3300
94	345	3290
95	348	3281
96	351	3273
97	355	3271
98	358	3264
99	361	3256
100	364	3247
101	367	3239
102	371	3235
103	374	3227
104	377	3221
105	380	3212
106	383	3203
107	387	3199
108	390	3190
109	393	3184
110	396	3174
111	399	3168
112	402	3162
113	406	3156
114	408	3146
115	411	3139
116	414	3130
117	418	3125
118	421	3118
119	424	3112
120	427	3103
121	430	3097
122	433	3090
123	436	3085
124	439	3077
125	442	3069
126	445	3061
127	448	3053
128	451	3048
129	454	3040
130	457	3035
131	461	3034
132	464	3027
133	467	3023
134	470	3016
135	473	3009
136	476	3001
137	479	2993
138	482	2987
139	485	2981
140	488	2974
141	491	2968
142	494	2962
143	497	2956
144	500	2952
145	503	2945
146	506	2939
147	509	2932
148	512	2925
149	515	2920
150	518	2917
151	521	2911
152	524	2905
153	528	2900
154	531	2896
155	534	2891
156	537	2885
157	540	2879
158	543	2872
159	546	2868
160	549	2865
161	553	2863
162	556	2856
163	559	2851
164	562	2846
